beta	seed	peak_share	final_infected_share	death_share
0.1	42	0.494	0.0	0.021333333333333333
0.1	43	0.5153333333333333	0.0	0.015333333333333332
0.1	44	0.49266666666666664	0.0	0.020666666666666667
0.2	42	0.922	0.0	0.016
0.2	43	0.9186666666666666	0.0	0.018666666666666668
0.2	44	0.918	0.0	0.02
0.3	42	0.9913333333333333	0.0	0.022
0.3	43	0.9906666666666667	0.0	0.026
0.3	44	0.992	0.0	0.021333333333333333
0.4	42	0.9986666666666667	0.0	0.019333333333333334
0.4	43	0.9973333333333333	0.0	0.021333333333333333
0.4	44	0.998	0.0	0.018
0.5	42	0.9993333333333333	0.03666666666666667	0.020666666666666667
0.5	43	1.0	0.012666666666666666	0.02266666666666667
0.5	44	1.0	0.006666666666666667	0.023333333333333334
0.6	42	1.0	0.11066666666666666	0.024666666666666667
0.6	43	1.0	0.14466666666666667	0.042666666666666665
0.6	44	1.0	0.15866666666666668	0.034666666666666665
0.7	42	1.0	0.2613333333333333	0.034
0.7	43	1.0	0.284	0.05533333333333333
0.7	44	1.0	0.244	0.042666666666666665
0.8	42	1.0	0.3353333333333333	0.035333333333333335
0.8	43	1.0	0.35133333333333333	0.048666666666666664
0.8	44	1.0	0.3566666666666667	0.04933333333333333
