time,S,I,R
0.0,990,10,0
0.03196270470281792,990,9,1
0.1744013159413962,989,10,1
0.3634601989780034,988,11,1
0.4559331479462213,987,12,1
0.5368066623843666,986,13,1
0.5944486637154492,985,14,1
0.823520098117169,984,15,1
0.9102182668567846,983,16,1
0.9731865185163208,982,17,1
1.166144497093995,981,18,1
1.4867900674730743,980,19,1
1.5121972667873367,980,18,2
1.5928155692762447,980,17,3
1.98415239386529,980,16,4
2.2826156808434255,980,15,5
2.3727970186902434,980,14,6
2.3947990618686372,980,13,7
2.5298155536924023,979,14,7
2.765527813994471,979,13,8
2.8029012232295,978,14,8
2.962056411859893,977,15,8
3.00216080676456,977,14,9
3.0726081737677626,976,15,9
3.0950095178407606,975,16,9
3.9817301611970897,974,17,9
4.000374827431723,973,18,9
4.221000726088053,972,19,9
4.226238893891541,971,20,9
4.371886860771599,970,21,9
4.487255720860413,969,22,9
4.540452178773407,969,21,10
4.572064105350931,968,22,10
4.695121252495741,967,23,10
4.922875356666957,967,22,11
4.9877784092274755,967,21,12
5.061431963917764,966,22,12
5.183492883369857,966,21,13
5.184250638994461,965,22,13
5.59534890289471,965,21,14
5.653136725583864,965,20,15
6.2976002100744255,965,19,16
6.35235283809526,964,20,16
6.416065696982051,964,19,17
6.465964676490886,964,18,18
6.5830831513858215,963,19,18
6.803762780928661,962,20,18
6.853092121522831,962,19,19
6.881149732580285,962,18,20
7.141431461131919,961,19,20
7.150172553676313,960,20,20
7.196512818176118,959,21,20
7.5547348815822435,959,20,21
8.284710899727804,958,21,21
8.42298747301617,958,20,22
8.574735524447835,957,21,22
8.58023935934835,956,22,22
8.616583968125115,955,23,22
8.738540649439669,954,24,22
8.79436205613199,953,25,22
9.081725656202185,952,26,22
9.210232627336682,951,27,22
9.346185060140522,950,28,22
9.351018145528293,949,29,22
9.35873422158839,949,28,23
9.468248689197264,948,29,23
9.63606600285461,947,30,23
9.68815301854257,947,29,24
9.68953157680236,946,30,24
9.796959701217025,945,31,24
9.874588471169979,944,32,24
9.976296506473606,943,33,24
9.979884584461852,943,32,25
9.979911478706063,943,31,26
9.980985172113671,943,30,27
9.992219055725721,942,31,27
10.025333753423823,941,32,27
10.19806853535801,940,33,27
10.288310697254296,939,34,27
10.386046207703034,939,33,28
10.463385986770835,938,34,28
10.558931317220729,937,35,28
10.574897003627523,937,34,29
10.599997465180936,936,35,29
10.614258410788159,936,34,30
10.632210357253955,935,35,30
10.670372910679204,935,34,31
10.696529919856857,934,35,31
10.856465907502402,933,36,31
10.883747560205599,932,37,31
10.896758420091444,932,36,32
11.007548229616637,931,37,32
11.013896929479248,930,38,32
11.134558671145438,929,39,32
11.191116384554087,929,38,33
11.191672886086288,928,39,33
11.1959800142302,928,38,34
11.22161526116325,927,39,34
11.272334317056224,926,40,34
11.362238616074444,925,41,34
11.389172408925218,924,42,34
11.513706948198601,923,43,34
11.519198704283342,923,42,35
11.54481163312985,922,43,35
11.619587775409615,921,44,35
11.720649378031228,920,45,35
11.737957132771443,919,46,35
11.77559907329694,918,47,35
11.919175308884837,917,48,35
12.009534999672058,916,49,35
12.067314870401516,915,50,35
12.07833641732918,914,51,35
12.104141961856678,913,52,35
12.18442802767655,912,53,35
12.268243588325713,912,52,36
12.402101766892585,911,53,36
12.42806732021981,910,54,36
12.44108067072427,909,55,36
12.453106995145815,908,56,36
12.479552977579276,907,57,36
12.480758915251718,906,58,36
12.495702845355098,905,59,36
12.534990888912633,905,58,37
12.572481374577494,904,59,37
12.594803704676645,903,60,37
12.59571784153873,902,61,37
12.773609262050703,902,60,38
12.848456287289098,901,61,38
12.891952484273519,901,60,39
13.072164135073878,900,61,39
13.074821353995874,900,60,40
13.094568003078148,899,61,40
13.115048100521175,898,62,40
13.195911903315253,898,61,41
13.249639970965527,897,62,41
13.314796901792757,897,61,42
13.384492521938997,896,62,42
13.56513039002495,896,61,43
13.63750538834789,896,60,44
13.659931275262228,895,61,44
13.70894395960979,895,60,45
13.804148215969855,894,61,45
13.832585806438022,893,62,45
13.867130837413692,892,63,45
13.969785784210345,892,62,46
14.04677642371598,892,61,47
14.076579688906621,891,62,47
14.091710837543031,890,63,47
14.189913159185084,889,64,47
14.211781370384166,889,63,48
14.259784945423194,888,64,48
14.26855677747167,887,65,48
14.302726092750996,886,66,48
14.311245568981539,886,65,49
14.318223692676312,885,66,49
14.355018826627322,884,67,49
14.453221967637017,884,66,50
14.538066528349843,883,67,50
14.576344613933921,882,68,50
14.76958375235799,881,69,50
14.790973769342099,880,70,50
14.798486606515125,880,69,51
14.821017007895975,879,70,51
14.895835803484212,878,71,51
14.922197169019967,877,72,51
15.047828978905827,876,73,51
15.088573414885694,875,74,51
15.130624858474155,874,75,51
15.139944705846823,873,76,51
15.176562207196202,872,77,51
15.221446813504107,871,78,51
15.223062821345001,870,79,51
15.250809061935591,869,80,51
15.258664382949513,868,81,51
15.271595645393056,867,82,51
15.327488664549675,866,83,51
15.329083507410571,865,84,51
15.334305904120741,864,85,51
15.33568586336149,863,86,51
15.33998293699193,862,87,51
15.354111955404608,861,88,51
15.38344041695302,860,89,51
15.402319043721798,859,90,51
15.405295316501713,858,91,51
15.422131063360725,857,92,51
15.45026784076082,856,93,51
15.495433001885583,855,94,51
15.495958766699141,855,93,52
15.500120764510788,854,94,52
15.516474879995162,853,95,52
15.541495434302474,852,96,52
15.549333860885975,851,97,52
15.552101503268952,850,98,52
15.589765315677733,849,99,52
15.598566235842364,848,100,52
15.623270407126217,847,101,52
15.633911061504092,846,102,52
15.668254130109002,845,103,52
15.708507147184744,845,102,53
15.735307297149852,844,103,53
15.767469813131465,843,104,53
15.769351775809428,842,105,53
15.789917751765744,841,106,53
15.812151621155909,841,105,54
15.828310931830863,841,104,55
15.843496486163843,840,105,55
15.858876301356425,839,106,55
15.87915215904811,838,107,55
15.929575516186997,838,106,56
15.974910274554347,837,107,56
15.987205184274869,836,108,56
16.082829214449205,835,109,56
16.096107719714954,834,110,56
16.111710739322515,833,111,56
16.148656057274223,832,112,56
16.155248025434187,831,113,56
16.181602340241437,831,112,57
16.199223766617713,831,111,58
16.207361295371467,831,110,59
16.23080731670273,831,109,60
16.258148848493757,830,110,60
16.310352224735457,829,111,60
