t,S,I,R
0.0,990,10,0
0.003764393783437552,989,11,0
0.1606834138219505,989,10,1
0.23518618610893052,989,9,2
0.25020468011486635,989,8,3
0.27642324953178504,988,9,3
0.31584570629667386,987,10,3
0.34187899642606373,986,11,3
0.3583449030312031,985,12,3
0.49867960707425296,984,13,3
0.6384784926672906,983,14,3
0.6768255066572771,982,15,3
0.8471684919519484,981,16,3
0.8603960356260659,980,17,3
0.8898713198767878,980,16,4
1.0068979158320752,980,15,5
1.3510512702198332,980,14,6
1.4491045856021698,980,13,7
1.511478026252694,980,12,8
1.5776167924170825,980,11,9
1.5922632581503053,979,12,9
1.5990335175983599,978,13,9
1.7432407350480135,978,12,10
1.8164179735188373,978,11,11
1.8746668708693712,977,12,11
1.908431872221502,977,11,12
2.0368237327598555,976,12,12
2.0701292052553053,976,11,13
2.390690942671452,975,12,13
2.418648440360505,975,11,14
2.5960446947895717,974,12,14
2.6706908247639722,973,13,14
2.6827442607775214,972,14,14
2.751468228213844,971,15,14
2.780516701208193,970,16,14
2.782877331027298,969,17,14
2.9088889884617806,969,16,15
2.917950402283235,969,15,16
2.9501768510971904,968,16,16
3.0620700741494256,968,15,17
3.113221436099882,968,14,18
3.1341559982433296,968,13,19
3.2691112692265727,967,14,19
3.289607447674066,966,15,19
3.5219415445093887,966,14,20
3.5735252153309154,965,15,20
3.5972239348112782,965,14,21
3.6226573629195635,965,13,22
3.757526056823528,964,14,22
3.8230066061457486,964,13,23
4.187039855699372,963,14,23
4.292702509777109,962,15,23
4.36734953988818,961,16,23
4.422532684521776,960,17,23
4.487708433664173,960,16,24
4.5299066098108405,959,17,24
4.588464250793291,958,18,24
4.591155852388009,957,19,24
4.610522422060521,956,20,24
4.638032478621499,955,21,24
4.640079746115346,954,22,24
4.704009165655622,953,23,24
4.740103345452775,952,24,24
4.776236083541407,952,23,25
4.83751625324393,952,22,26
4.970390843004791,951,23,26
4.981239722560381,951,22,27
5.048897403763044,950,23,27
5.135080138511671,950,22,28
5.229480208233777,950,21,29
5.2528133294672426,949,22,29
5.3201697484225825,948,23,29
5.419484861125384,947,24,29
5.453077515874972,946,25,29
5.470304496795904,945,26,29
5.491609394955829,945,25,30
5.507939769812596,944,26,30
5.636029984907621,943,27,30
5.772543778887958,942,28,30
5.814371666729706,941,29,30
5.820546548172489,940,30,30
5.863709769868237,939,31,30
5.917462136200299,939,30,31
5.931434367328699,939,29,32
6.013091066643028,939,28,33
6.023845312859111,939,27,34
6.029586553561171,938,28,34
6.098502715171697,937,29,34
6.113238925690387,937,28,35
6.166384601641583,936,29,35
6.1983357783981194,935,30,35
6.24159236438615,934,31,35
6.317028992614438,933,32,35
6.352004554672476,932,33,35
6.403147960387448,931,34,35
6.463869883090242,930,35,35
6.663775812387238,929,36,35
6.718825412426973,928,37,35
6.740470229562819,927,38,35
6.772291697583653,926,39,35
6.776512309484918,925,40,35
6.790552756878043,925,39,36
6.794747281050456,924,40,36
6.806894531871439,924,39,37
6.824916328736644,923,40,37
6.9108448005442735,923,39,38
6.977524318930226,922,40,38
6.992904318047262,921,41,38
6.998209630033733,920,42,38
7.0378512832830875,920,41,39
7.038755213431344,919,42,39
7.081853917883681,919,41,40
7.108665983789465,919,40,41
7.17699304477619,919,39,42
7.179840342278545,918,40,42
7.209365865827583,917,41,42
7.25707442813894,916,42,42
7.301969350645943,915,43,42
7.310391919252873,914,44,42
7.311339315822668,913,45,42
7.31389870624718,913,44,43
7.398767250974422,912,45,43
7.42759451653329,911,46,43
7.457159889527314,910,47,43
7.499427690285446,909,48,43
7.504148402155431,908,49,43
7.5372668993035035,907,50,43
7.5510254315248035,906,51,43
7.570338067368589,905,52,43
7.583897769848994,904,53,43
7.66028973882607,903,54,43
7.7542392559170565,902,55,43
7.768280465383912,902,54,44
7.784077203326232,902,53,45
7.790664028791255,901,54,45
7.843739833696879,900,55,45
7.869674957435546,899,56,45
7.905379576803803,899,55,46
7.929293322636387,899,54,47
7.932389908245205,898,55,47
7.940103921175989,898,54,48
7.958871920200959,897,55,48
7.964423165266745,897,54,49
7.965399310622037,896,55,49
7.9737145436568735,895,56,49
7.992424988780652,895,55,50
8.021650342545238,894,56,50
8.045925588805211,893,57,50
8.054402739925333,892,58,50
8.074792159442204,892,57,51
8.083926279252104,891,58,51
8.096825744732243,890,59,51
8.13999075197421,890,58,52
8.229335995391148,889,59,52
8.253699355876968,888,60,52
8.319454369603067,888,59,53
8.351669746131234,887,60,53
8.388960061102294,887,59,54
8.40215764561615,886,60,54
8.474842861712121,885,61,54
8.512331144571986,884,62,54
8.515639958105748,883,63,54
8.517314791094606,882,64,54
8.557667046435732,881,65,54
8.558948584698507,880,66,54
8.586813539596305,880,65,55
8.621021035687615,879,66,55
8.629806662334065,879,65,56
8.631184597900505,878,66,56
8.668406510294483,878,65,57
8.68214878828147,877,66,57
8.6987933868477,877,65,58
8.721206662362722,877,64,59
8.75450116443327,876,65,59
8.775429814324298,876,64,60
8.867468537385388,876,63,61
8.876737026227635,875,64,61
8.878276604673346,874,65,61
8.891581749413069,873,66,61
8.90980833209919,872,67,61
8.91207151536548,871,68,61
8.915469937381795,871,67,62
8.961808229783477,871,66,63
9.01464340789951,870,67,63
9.019186660693572,869,68,63
9.025970121203176,868,69,63
9.130714909087294,867,70,63
9.210181277113277,867,69,64
9.252150340238705,867,68,65
9.270464557378512,866,69,65
9.275276762396794,866,68,66
9.284766014838953,865,69,66
9.302371606376118,864,70,66
9.302552749196398,863,71,66
9.31598098484822,863,70,67
9.345709872818224,863,69,68
9.376723824613439,862,70,68
9.387653141674612,862,69,69
9.399603688588835,861,70,69
9.408767607640408,860,71,69
9.410084490797061,859,72,69
9.42996979468327,858,73,69
9.451551305638754,858,72,70
9.452607000222384,857,73,70
9.459865108861283,856,74,70
9.474095926414693,856,73,71
9.5224335827092,855,74,71
9.52475401262865,855,73,72
9.544316184354367,854,74,72
9.547387723233442,853,75,72
9.556347600709488,853,74,73
9.567363213048539,852,75,73
9.578249177219945,851,76,73
9.588712615071039,851,75,74
9.629870536383553,850,76,74
9.65295742999613,849,77,74
9.665827281153401,848,78,74
9.680643859458947,848,77,75
9.698855440253958,848,76,76
9.717111916939523,847,77,76
9.748154080493634,847,76,77
9.768873159205086,846,77,77
9.806452925697036,846,76,78
9.813693310998262,846,75,79
9.81423667157235,845,76,79
9.82056476346966,844,77,79
9.902072982499476,844,76,80
9.925615143278273,843,77,80
9.962754314539469,842,78,80
9.98110040486141,842,77,81
9.993936288919924,841,78,81
9.995072857459359,840,79,81
9.996443178289349,839,80,81
9.996827769826126,838,81,81
10.027009189497866,837,82,81
10.030455938718848,836,83,81
10.052743195541385,835,84,81
10.072772361142206,834,85,81
10.075497701109938,833,86,81
10.078507493119925,833,85,82
10.09103108201932,833,84,83
10.112006900674425,833,83,84
10.190797192741817,832,84,84
10.202959104637117,832,83,85
10.228337281829196,831,84,85
10.309841098848183,831,83,86
10.315283104067186,830,84,86
10.326761739681922,829,85,86
10.339104638854122,828,86,86
10.34041990201833,827,87,86
10.34663573951696,826,88,86
10.368159936850862,826,87,87
10.408586689078984,826,86,88
10.417677785997844,825,87,88
10.422171111312023,824,88,88
10.437756575672605,824,87,89
10.458470818722772,823,88,89
10.47174698988913,823,87,90
10.557939270245448,823,86,91
10.565940074602166,823,85,92
10.592169593115539,822,86,92
10.641551702920268,821,87,92
10.654174645070924,820,88,92
10.666244235623719,819,89,92
10.699276897436295,819,88,93
10.73376066774154,818,89,93
10.749865819487344,818,88,94
10.749987706723743,817,89,94
10.761014537094498,816,90,94
10.780320315944763,816,89,95
10.790235128791224,815,90,95
10.796969279882456,814,91,95
10.809164464288921,813,92,95
10.81866329250754,813,91,96
10.826685341540278,812,92,96
10.85382871835973,811,93,96
10.861571686040776,810,94,96
10.912841448830402,809,95,96
10.921760939146623,809,94,97
10.924071711357712,809,93,98
10.953343175755787,808,94,98
10.977553509020614,808,93,99
11.01864629620152,808,92,100
11.029312784884128,807,93,100
11.034273705280137,806,94,100
11.03822586269807,806,93,101
11.041361167131809,806,92,102
11.05628662673241,805,93,102
11.062421736041582,805,92,103
11.092872568855936,805,91,104
11.105288814367189,804,92,104
11.17920545674746,803,93,104
11.190286736524747,802,94,104
11.206617973921809,801,95,104
11.243998917787943,800,96,104
11.246285873271804,799,97,104
11.26595956739992,798,98,104
11.291802712318665,797,99,104
11.310232957142658,796,100,104
11.335953748363869,795,101,104
11.379751995160166,794,102,104
11.394093424450855,793,103,104
11.394218703017742,792,104,104
11.417112273551545,791,105,104
11.41780425090292,791,104,105
11.43553739436617,791,103,106
11.443648301829478,790,104,106
11.448651391622226,790,103,107
11.45563548412018,789,104,107
11.456513168228275,788,105,107
11.46900601476985,787,106,107
11.480866060197137,787,105,108
11.481420264584814,786,106,108
11.4814488581716,785,107,108
11.495822475262083,785,106,109
11.501929686025042,784,107,109
11.52540168990921,784,106,110
11.52822491858794,783,107,110
11.530742220338084,783,106,111
11.534789230167961,782,107,111
11.558329606333773,781,108,111
11.566816205804441,780,109,111
11.612562051997559,779,110,111
11.616496784401976,778,111,111
11.634388476388962,777,112,111
11.659632094413402,777,111,112
11.661624725962225,777,110,113
11.686761521646847,776,111,113
11.69368767533658,776,110,114
11.723312305659006,775,111,114
11.73226097890379,774,112,114
11.73312279357288,774,111,115
11.777723787873677,774,110,116
11.806114357855341,774,109,117
11.815866832494505,773,110,117
11.83492679454869,772,111,117
11.845525936221799,772,110,118
11.850626323133937,772,109,119
11.867551687307973,772,108,120
11.875568857316006,771,109,120
11.876485150383775,770,110,120
11.896557520650624,769,111,120
11.916431723506982,769,110,121
11.934296869678104,768,111,121
11.947114211353087,767,112,121
11.949334953453567,766,113,121
11.953265469204512,766,112,122
11.967640101666426,765,113,122
12.021945702158384,765,112,123
12.035882168774995,764,113,123
12.06989815671265,763,114,123
12.070046339788307,762,115,123
12.076170954327354,761,116,123
12.087965970867362,760,117,123
12.103048395016375,760,116,124
12.137378358836324,759,117,124
12.14496643531816,759,116,125
12.145225528212475,759,115,126
12.190441790626611,759,114,127
12.223703337162817,759,113,128
12.228010831996034,758,114,128
12.236085807256247,757,115,128
12.24015895970685,756,116,128
12.253461554636583,755,117,128
12.256238513683432,755,116,129
12.273012647594438,754,117,129
12.273655924471985,753,118,129
12.27804677777252,753,117,130
12.279390910484375,752,118,130
12.288587112813348,751,119,130
12.294690258971302,751,118,131
12.29812680081715,751,117,132
12.298743464789144,750,118,132
12.325210698330547,749,119,132
12.344706127182707,748,120,132
12.360962265283694,748,119,133
12.390007771126346,747,120,133
12.392504692259303,746,121,133
12.398577662012565,745,122,133
12.425228711263296,744,123,133
12.43287826403981,743,124,133
12.447276668135473,742,125,133
12.449380624498318,741,126,133
12.47157825008169,741,125,134
12.475466826589045,741,124,135
12.491031985495136,740,125,135
12.49142191254667,740,124,136
12.512228580878597,739,125,136
12.555196444566532,738,126,136
12.557139496340174,737,127,136
12.56107294171486,737,126,137
12.59946554009996,736,127,137
12.625854180915683,735,128,137
12.641249753515448,734,129,137
12.643022851605746,734,128,138
12.645128485998365,733,129,138
12.650080741556101,732,130,138
12.68139420385737,731,131,138
12.684873594414475,731,130,139
12.694600430074317,731,129,140
12.695792793508101,731,128,141
12.707110938729391,731,127,142
12.715895936215976,730,128,142
12.72954056492759,730,127,143
12.733701584998808,729,128,143
12.734442682765751,728,129,143
12.75845998763865,727,130,143
12.759044658141654,727,129,144
12.763324155394901,727,128,145
12.769311095307383,727,127,146
12.772461729244482,726,128,146
12.786076353904532,725,129,146
12.797624963510003,725,128,147
12.841492633419339,724,129,147
12.843338265795962,724,128,148
12.851593254841607,724,127,149
12.861775750526823,723,128,149
12.869778476463324,723,127,150
12.880202461880394,722,128,150
12.898322362223231,721,129,150
12.90581083485941,721,128,151
12.933816278169552,721,127,152
12.941436040250661,721,126,153
12.950661640030502,721,125,154
12.954437465508798,720,126,154
12.955490948857008,720,125,155
12.963168181359263,719,126,155
12.967389323522085,718,127,155
12.983133003936102,718,126,156
12.985878055210678,717,127,156
12.990167690074546,716,128,156
12.99053727714733,716,127,157
13.04925739678581,715,128,157
13.05369369654332,715,127,158
13.083057362042634,715,126,159
13.094187513936243,715,125,160
13.125255224883071,714,126,160
13.129252183631083,713,127,160
13.133737304189816,713,126,161
13.149045819580968,713,125,162
13.158356898125174,713,124,163
13.183547092723803,712,125,163
13.222110305331938,711,126,163
13.223510761119462,711,125,164
