beta	mean_peak_share	max_peak_share	r0
0.02	0.001	0.0013333333333333333	0.28
0.03	0.001	0.0013333333333333333	0.42
0.04	0.0013333333333333333	0.0026666666666666666	0.56
0.05	0.0015	0.0026666666666666666	0.7000000000000001
0.06	0.004166666666666667	0.010666666666666666	0.84
0.07	0.09433333333333332	0.212	0.9800000000000001
0.08	0.1895	0.2793333333333333	1.12
0.09	0.37766666666666665	0.3993333333333333	1.26
0.1	0.49916666666666665	0.5153333333333333	1.4000000000000001
0.11	0.5576666666666666	0.5853333333333334	1.54
0.12	0.659	0.698	1.68
0.13	0.7281666666666666	0.7373333333333333	1.82
0.14	0.7536666666666667	0.7686666666666667	1.9600000000000002
0.15	0.8075	0.8213333333333334	2.1
0.16	0.8341666666666667	0.8493333333333334	2.24
0.17	0.8631666666666666	0.868	2.3800000000000003
0.18	0.8851666666666667	0.9006666666666666	2.52
