β,peak_I,final_R
0.1,10.0,82.83460773763862
0.15,69.72453424436918,468.1502619236543
0.2,158.44052910186596,775.6937477198227
0.25,237.5134917262812,888.4588492166455
0.3,303.7911729316086,939.3377286816514
0.35,359.19746692883257,965.5490221776463
0.4,405.8893296048846,979.9346752821522
0.45,445.7234947189246,988.1218202098798
0.5,479.9904192213942,992.882234773908
0.55,510.0231663034698,995.6913937692678
0.6,535.8679364619226,997.3674227424818
0.65,559.2281029767998,998.3733287433126
0.7,580.5617543782565,998.980813639533
0.75,598.6544048941025,999.3486472458
0.8,616.1763120356658,999.5726049195457
