beta	detection_time	death_rate	mean_peak_share	mean_death_share	feasible	objective
0.03	2	0.005	0.0011111111111111111	0.0	true	0.0
0.03	2	0.01	0.0011111111111111111	0.0	true	0.0
0.03	2	0.02	0.0011111111111111111	0.0	true	0.0
0.03	4	0.005	0.0011111111111111111	0.0	true	0.0
0.03	4	0.01	0.0011111111111111111	0.0	true	0.0
0.03	4	0.02	0.0011111111111111111	0.0	true	0.0
0.05	2	0.005	0.0011111111111111111	0.0	true	0.0
0.05	2	0.01	0.0011111111111111111	0.0	true	0.0
0.05	2	0.02	0.0011111111111111111	0.0	true	0.0
0.03	6	0.005	0.0016666666666666666	0.0	true	0.0
0.03	6	0.01	0.0016666666666666666	0.0	true	0.0
0.03	6	0.02	0.0016666666666666666	0.0	true	0.0
0.07	2	0.005	0.0016666666666666666	0.0	true	0.0
0.07	2	0.01	0.0016666666666666666	0.0	true	0.0
0.07	2	0.02	0.0016666666666666666	0.0	true	0.0
0.05	4	0.005	0.0022222222222222222	0.0	true	0.0
0.05	4	0.01	0.0022222222222222222	0.0	true	0.0
0.05	4	0.02	0.0022222222222222222	0.0	true	0.0
0.09	2	0.005	0.0022222222222222222	0.0	true	0.0
0.09	2	0.01	0.0022222222222222222	0.0	true	0.0
0.09	2	0.02	0.0022222222222222222	0.0	true	0.0
0.05	6	0.005	0.002777777777777778	0.0	true	0.0
0.05	6	0.01	0.002777777777777778	0.0	true	0.0
0.05	6	0.02	0.002777777777777778	0.0	true	0.0
0.07	4	0.005	0.006666666666666667	0.0	true	0.0
0.07	4	0.01	0.006666666666666667	0.0	true	0.0
0.07	4	0.02	0.006666666666666667	0.0	true	0.0
0.09	4	0.005	0.04333333333333333	0.0005555555555555556	true	0.0005555555555555556
0.07	6	0.005	0.11722222222222223	0.0005555555555555556	true	0.0005555555555555556
0.09	4	0.01	0.028333333333333335	0.0016666666666666668	true	0.0016666666666666668
0.07	6	0.01	0.11722222222222223	0.0022222222222222222	true	0.0022222222222222222
0.09	4	0.02	0.04666666666666666	0.0044444444444444444	true	0.0044444444444444444
0.07	6	0.02	0.09277777777777778	0.0044444444444444444	true	0.0044444444444444444
0.09	6	0.005	0.30222222222222217	0.005555555555555556	false	Inf
0.09	6	0.01	0.30222222222222217	0.0038888888888888888	false	Inf
0.09	6	0.02	0.31055555555555553	0.012777777777777779	false	Inf
