beta	seed	peak_share	r0
0.02	41	0.0006666666666666666	0.28
0.02	42	0.0006666666666666666	0.28
0.02	43	0.0013333333333333333	0.28
0.02	44	0.0013333333333333333	0.28
0.03	41	0.0006666666666666666	0.42
0.03	42	0.0006666666666666666	0.42
0.03	43	0.0013333333333333333	0.42
0.03	44	0.0013333333333333333	0.42
0.04	41	0.0006666666666666666	0.56
0.04	42	0.0006666666666666666	0.56
0.04	43	0.0013333333333333333	0.56
0.04	44	0.0026666666666666666	0.56
0.05	41	0.0006666666666666666	0.7000000000000001
0.05	42	0.0006666666666666666	0.7000000000000001
0.05	43	0.002	0.7000000000000001
0.05	44	0.0026666666666666666	0.7000000000000001
0.06	41	0.0013333333333333333	0.84
0.06	42	0.0006666666666666666	0.84
0.06	43	0.010666666666666666	0.84
0.06	44	0.004	0.84
0.07	41	0.0013333333333333333	0.9800000000000001
0.07	42	0.0006666666666666666	0.9800000000000001
0.07	43	0.16333333333333333	0.9800000000000001
0.07	44	0.212	0.9800000000000001
0.08	41	0.0013333333333333333	1.12
0.08	42	0.24133333333333334	1.12
0.08	43	0.236	1.12
0.08	44	0.2793333333333333	1.12
0.09	41	0.37	1.26
0.09	42	0.39066666666666666	1.26
0.09	43	0.3506666666666667	1.26
0.09	44	0.3993333333333333	1.26
0.1	41	0.49466666666666664	1.4000000000000001
0.1	42	0.494	1.4000000000000001
0.1	43	0.5153333333333333	1.4000000000000001
0.1	44	0.49266666666666664	1.4000000000000001
0.11	41	0.5733333333333334	1.54
0.11	42	0.564	1.54
0.11	43	0.5853333333333334	1.54
0.11	44	0.508	1.54
0.12	41	0.65	1.68
0.12	42	0.652	1.68
0.12	43	0.636	1.68
0.12	44	0.698	1.68
0.13	41	0.7373333333333333	1.82
0.13	42	0.7353333333333333	1.82
0.13	43	0.7246666666666667	1.82
0.13	44	0.7153333333333334	1.82
0.14	41	0.7653333333333333	1.9600000000000002
0.14	42	0.7553333333333333	1.9600000000000002
0.14	43	0.7253333333333334	1.9600000000000002
0.14	44	0.7686666666666667	1.9600000000000002
0.15	41	0.818	2.1
0.15	42	0.8086666666666666	2.1
0.15	43	0.782	2.1
0.15	44	0.8213333333333334	2.1
0.16	41	0.822	2.24
0.16	42	0.8333333333333334	2.24
0.16	43	0.832	2.24
0.16	44	0.8493333333333334	2.24
0.17	41	0.862	2.3800000000000003
0.17	42	0.868	2.3800000000000003
0.17	43	0.8626666666666667	2.3800000000000003
0.17	44	0.86	2.3800000000000003
0.18	41	0.8893333333333333	2.52
0.18	42	0.8866666666666667	2.52
0.18	43	0.864	2.52
0.18	44	0.9006666666666666	2.52
