time,S,I,R
0.0,990.0,10.0,0.0
0.2,989.3943320035984,10.401676972183417,0.2039910242183061
0.4,988.7647405448188,10.819087490154647,0.4161719650266655
0.6,988.1103216863484,11.252814968864136,0.636863344787597
0.8,987.430141024151,11.703461593508441,0.8663973823407403
1.0,986.7232323601742,12.171648978383256,1.1051186614426987
1.2,985.9885969596892,12.658018532700176,1.3533845076107693
1.4,985.2252032829739,13.163231555974923,1.6115651610513015
1.6,984.4319860056747,13.687969713496262,1.880044280829153
1.8,983.6078458694258,14.232935261885185,2.159218868689159
2.0,982.7516474376447,14.798851778394326,2.4495007839611023
2.2,981.8622188998439,15.38646422402383,2.75131687613233
2.4,980.938352071631,15.996538943521324,3.0651089848477424
2.6,979.9788023947085,16.629863665381862,3.3913339399097633
2.8,978.9822879526887,17.287247404513188,3.7304646427982755
3.0,977.9474873527787,17.969522152415788,4.082990494805631
3.2,976.8730401657044,18.677542770651012,4.449417063644656
3.4,975.7575460801552,19.4121857783333,4.830268141511627
3.6,974.5995648899284,20.17434934351056,5.22608576656116
3.8,973.3976164939297,20.96495328316418,5.637430222906203
4.0,972.1501808961731,21.784939063209023,6.064880040618047
4.2,970.8556982057803,22.63526979849345,6.509031995726333
4.4,969.5125694635151,23.516929147885456,6.970501388599577
4.6,968.1191588736002,24.430916049942528,7.449925076457307
4.8,966.6737774436336,25.378263193691858,7.94795936267455
5.0,965.1746960278955,26.36002222364152,8.465281748463017
5.2,963.6201484256131,27.37725996632665,9.002591608060238
5.4,962.0083313809611,28.43105843030949,9.560610188729562
5.6,960.3374045830607,29.5225148061793,10.140080610760126
5.8,958.6054906659807,30.652741466552484,10.741767867466923
6.0,956.8106752087367,31.82286596607256,11.366458825190763
6.2,954.9510067352919,33.03403104140997,12.014962223298204
6.4,953.0244967145561,34.287394611262314,12.688108674181652
6.6,951.0291286830778,35.584121153411935,13.386750163510314
6.8,948.9628876325958,36.92535080106545,14.111761566338833
7.0,946.823655852802,38.312294587750955,14.864049559447201
7.2,944.609290994572,39.74616444801153,15.644544557416493
7.4,942.317641491832,41.228159013429945,16.454199494738155
7.6,939.9465465615575,42.75946361262857,17.29398982581394
7.8,937.4938362037744,44.34125027126963,18.16491352495603
8.0,934.9573312015583,45.97467771205489,19.067991086386918
8.2,932.3348431210347,47.66089135472589,20.004265524239457
8.4,929.6241743113795,49.40102331606372,20.974802372556834
8.6,926.823117904818,51.19619240988942,21.98068968529269
8.8,923.9294578166258,53.04750414706337,23.023038036310872
9.0,920.9409687451284,54.95605073548591,24.102980519385692
9.2,917.8554220405723,56.922906387228316,25.221671572199497
9.4,914.6707883824477,58.9489616354082,26.380249982144278
9.6,911.3848675348863,61.03521110025786,27.579921364855878
9.8,907.9953956806171,63.18267394571588,28.821930373667204
10.0,904.5001930412258,65.39227738246275,30.107529576311602
10.2,900.8971638771561,67.66485666792101,31.43797945492299
10.4,897.1842964877093,70.0011551062551,32.81454840603573
10.6,893.359663211044,72.4018240483714,34.2385127405847
10.8,889.4214204241767,74.86742289191815,35.71115668390521
11.0,885.3678085429809,77.3984190812859,37.23377237573327
11.2,881.1971520221881,79.99518810760685,38.8076598702052
11.4,876.9078593553872,82.65801350875512,40.434127135857814
11.6,872.4984230750247,85.38708686934692,42.1144900556285
11.8,867.9674197524041,88.18250782074071,43.85007242685533
12.0,863.3135099976879,91.04428404103598,45.642205961276275
12.2,858.5354384598944,93.9723312550752,47.49223028503046
12.4,853.6320353216032,96.96647246798534,49.40149221041161
12.6,848.6025524052787,100.02624815330928,51.37119944141207
12.8,843.4463103093648,103.15104715356937,53.402642537066036
13.0,838.1625957661793,106.34019611831818,55.49720811550269
13.2,832.7509252760613,109.59283609480077,57.6562386291381
13.4,827.2110451073702,112.90792252795461,59.88103236467532
13.6,821.5429312964866,116.28422526040933,62.172843443104156
13.8,815.7467896478115,119.72032853248719,64.53288181970147
14.0,809.8230557337668,123.21463098220254,66.9623132840309
14.2,803.772394894795,126.76534564526223,69.462259459943
14.4,797.5957022393592,130.37049995506564,72.0337978055754
14.6,791.2941026439437,134.0279357427041,74.67796161335232
14.8,784.8689507530535,137.73530923696163,77.39574000998506
15.0,778.3218309792137,141.49009106431456,80.1880779564719
15.2,771.6545575029705,145.28956624893164,83.05587624809796
