t,S,I,R
0.0,990.0,10.0,0.0
0.05,989.7510094283421,10.123221941265898,0.12576863039201994
0.1,989.4990153201708,10.247898072231514,0.2530866075976502
0.15,989.243983845902,10.374043948021487,0.3819722060765054
0.2,988.9858808548255,10.50167524966038,0.5124438955141676
0.25,988.7246718735825,10.630807784021933,0.6445203423956541
0.3,988.4603221046789,10.761457483743115,0.7782204115780327
0.35,988.1927964250364,10.893640407101916,0.913563167861736
0.4,987.9220593845821,11.027372737857792,1.050567877560117
0.45,987.6480752048795,11.16267078505369,1.18925401006677
0.5,987.3708077778014,11.299550982778545,1.3296412394201318
0.55,987.0902206642461,11.438029889889096,1.471749445864862
0.6,986.8062770929007,11.578124189689905,1.6155987174094824
0.65,986.5189399590499,11.719850689570375,1.7612093513797549
0.7,986.2281718234352,11.863226320597605,1.90860185596724
0.75,985.9339349111638,12.008268137063855,2.0577969517724917
0.8,985.6361911106704,12.1549933159874,2.208815573342298
0.85,985.3349019727342,12.303419156565528,2.3616788707003895
0.9,985.0300287095507,12.453563079578393,2.516408210871004
0.95,984.721532193863,12.605442626742459,2.673025179394682
1.0,984.4093729581523,12.759075460012216,2.8315515818356642
1.05,984.0935111938911,12.914479360828823,2.9920094452802224
1.1,983.7739067508605,13.071672229314359,3.1544210198252687
1.15,983.4505191365333,13.230672083410285,3.3188087800565373
1.2,983.1233075155258,13.391497057958757,3.485195426515651
1.25,982.7922307091195,13.554165403725348,3.653603887155326
1.3,982.4572471948564,13.71869548636178,3.824057318782001
1.35,982.1183151062079,13.885105785307214,3.9965791084851094
1.4,981.7753922323213,14.053414892626623,4.171192875052228
1.45,981.4284360178461,14.223641511784772,4.347922470369307
1.5,981.0774035628408,14.395804456354288,4.52679198080516
1.55,980.7222516227645,14.569922648656334,4.7078257285793885
1.6,980.3629366085551,14.746015118332306,4.891048273112885
1.65,979.9994145867952,14.924101000845011,5.076484412360039
1.7,979.6316412799707,15.10419953590778,5.264159184121771
1.75,979.259572066822,15.286330065839861,5.4540978673384535
1.8,978.8831619827919,15.470512033846562,5.646325983361818
1.85,978.5023657205729,15.65676498222245,5.8408692972048835
1.9,978.1171376307553,15.845108550476011,6.037753818768934
1.95,977.7274317225796,16.035562473374103,6.237005804046554
2.0,977.333201664796,16.228146578904514,6.438651756299708
2.05,976.9344007866334,16.422880786154977,6.642718427211838
2.1,976.5309820788805,16.61978510310691,6.849232818012912
2.15,976.1228981950818,16.818879624342184,7.058222180576351
2.2,975.7101014528524,17.02018452866121,7.269714018486746
2.25,975.2925438353126,17.223720076610576,7.483736088077225
2.3,974.8701769926465,17.429506607918526,7.700316399435359
2.35,974.4429522437875,17.6375645388365,7.919483217376412
2.4,974.0108205782327,17.84791435938498,8.141265062382757
2.45,973.5737326579903,18.060576630501874,8.365690711508293
2.5,973.1316388196623,18.275571981091645,8.592789199246548
2.55,972.6844890766657,18.4929211049734,8.82258981836131
2.6,972.2322331215958,18.71264475772618,9.055122120678448
2.65,971.7748203287332,18.934763753429575,9.29041591783764
2.7,971.3121997566997,19.159298961297967,9.528501282002724
2.75,970.8443201512646,19.386271302206524,9.769408546529263
2.8,970.3711299483052,19.61570174510716,10.013168306588039
2.85,969.8925772769247,19.84761130333268,10.25981141974302
2.9,969.4086099627307,20.082021030787285,10.509369006482428
2.95,968.9191755312772,20.318952018021655,10.761872450701487
3.0,968.4242212116742,20.55842538819079,11.017353400135343
3.05,967.9236939403667,20.80046229289289,11.275843766740755
3.1,967.4175403650879,21.045083907887392,11.537375727024989
3.15,966.9057068489894,21.292311428690475,11.801981722320432
3.2,966.3881394749507,21.54216606604627,12.06969445900339
3.25,965.8647840500729,21.79466904127196,12.340546908655455
3.3,965.3355861103593,22.049841581475118,12.614572308165933
3.35,964.8004909255851,22.307704914641533,12.891804159773647
3.4,964.2594435043619,22.568280264591795,13.172276231046528
3.45,963.7123885993979,22.83158884580504,13.456022554797347
3.5,963.1592707129582,23.097651858108097,13.743077428933882
3.55,962.6000341025298,23.366490481228503,14.033475416241881
3.6,962.0346227866914,23.638125869209716,14.32725134409905
3.65,961.4629805511948,23.912579144686973,14.624440304118362
3.7,960.885050955259,24.189871393022244,14.925077651718972
3.75,960.3007773380806,24.470023656296778,15.22919900562287
3.8,959.7101028255648,24.753056927159747,15.536840247275608
3.85,959.1129703372794,25.038992142531562,15.84803752018918
3.9,958.5093225936345,25.32785017716046,16.16282722920529
3.95,957.899102123292,25.619651837031018,16.48124603967718
4.0,957.2822512708088,25.914417852623252,16.803330876568083
4.05,956.6587122045146,26.212168872021106,17.12911892346452
4.1,956.0284269246287,26.512925453869038,17.458647621502486
4.15,955.3913372716199,26.81670806017564,17.791954668204628
4.2,954.7473849348106,27.123537048963104,18.12907801622651
4.25,954.0965114612285,27.433432666761618,18.470055872010075
4.3,953.4386582647104,27.74641504094759,18.814926694342226
4.35,952.7737666352587,28.06250417192489,19.163729192816724
4.4,952.1017777486546,28.381719925148253,19.516502326197347
4.45,951.4226326763319,28.70408202298805,19.873285300680315
4.5,950.7362723955104,29.02961003643582,20.234117568054106
4.55,950.0426377995959,29.358323376649857,20.599038823754512
4.6,949.3416697088468,29.690241286340445,20.968089004813066
4.65,948.6333088813093,30.02538283099422,21.341308287696762
4.7,947.9174960240259,30.363766889937356,21.718737086037045
4.75,947.1941718045168,30.705412147237357,22.100416048246156
4.8,946.4632768625385,31.05033708244326,22.486386055018666
4.85,945.7247518221199,31.39855996116422,22.876688216716275
4.9,944.9785373038799,31.75009882548657,23.271363870633852
4.95,944.2245739376262,32.10497148422945,23.670454578144646
5.0,943.4628023752382,32.4631955030394,24.07400212172274
5.05,942.6931633038355,32.82478819432423,24.48204850184061
5.1,941.9155974592337,33.18976660702669,24.894635933739917
5.15,941.1300456396882,33.55814751623871,25.311806844073445
5.2,940.3364487199274,33.92994741265676,25.733603867416196
5.25,939.5347476654771,34.30518249187951,26.160069842643775
5.3,938.7248835472758,34.683868643548664,26.591247809175922
5.35,937.9067975565829,35.06602144033416,27.027181003083378
5.4,937.0804310201792,35.4516561267652,27.467912853056102
5.45,936.2457254158612,35.840787607908425,27.913486976230875
5.5,935.4026223882289,36.233430437895066,28.36394717387652
5.55,934.5510637647672,36.6295988082987,28.81933742693469
5.6,933.6909915722204,37.02930653636565,29.279701891414497
5.65,932.8223480532612,37.43256705310019,29.745084893639113
5.7,931.9450756834513,37.839393391206755,30.215530925342502
5.75,931.0591171884942,38.24979817289173,30.691084638614623
5.8,930.16441556178,38.66379359752741,31.17179084069321
5.85,929.2609140822191,39.08139142918094,31.657694488600555
5.9,928.3485563323657,39.50260298401135,32.148840683623575
5.95,927.4272862168274,39.92743911753772,32.64527466563547
6.0,926.4970479809609,40.355910211782145,33.14704180725756
6.05,925.5577862298503,40.78802616229075,33.654187607859534
6.1,924.609445947567,41.22379636503686,34.16675768739678
6.15,923.6519725167071,41.66322970321019,34.684797780083294
6.2,922.6853117382058,42.10633453389619,35.20835372789868
6.25,921.7094098514224,42.553118674650165,35.73747147392813
6.3,920.7242135544963,43.003589389970635,36.272197055533795
6.35,919.7296700249673,43.457753377676816,36.812576597356546
6.4,918.7257269406584,43.91561675519537,37.35865630414688
6.45,917.7123325008153,44.37718504576161,37.91048245342384
6.5,916.689435447499,44.84246316454077,38.468101387960964
6.55,915.6569850872274,45.31145540467503,39.0315595080983
6.6,914.614931312859,45.7841654232623,39.60090326387952
6.65,913.5632246257144,46.26059622727293,40.17617914701345
6.7,912.5018161579309,46.74075015941079,40.75743368265908
6.75,911.4306576950415,47.224628883925526,41.3447134210337
6.8,910.3497016987748,47.712233372382684,41.9380649288433
6.85,909.2589013300669,48.203563889399014,42.53753478053486
6.9,908.1582104722803,48.698619978350294,43.14316954937022
6.95,907.0475837546204,49.19740044705926,43.75501579832111
7.0,905.9269765757439,49.69990335347166,44.37312007078526
7.05,904.7963451275491,50.20612599132833,44.99752888112336
7.1,903.655646419142,50.71606487584178,45.62828870501696
7.15,902.5048383009674,51.229715729385894,46.265445969647466
7.2,901.3438794890972,51.74707346720742,46.909047043696205
7.25,900.1727295896659,52.268132183168575,47.55913822716633
7.3,898.9913491234445,52.792885135529765,48.21576574102652
7.35,897.7996995505412,53.321324732782216,48.878975716677395
7.4,896.5977432952195,53.85344251954012,49.548814185241135
7.45,895.3854437708233,54.38922916250234,50.22532706667519
7.5,894.1627654047957,54.92867443649402,50.908560158711076
7.55,892.9296736637833,55.471767210598344,51.59855912561909
7.6,891.686135078811,56.01849543438928,52.295369486800446
7.65,890.4321172705168,56.56884612427614,52.99903660520791
